step,info
47600,"grad_norm=15.2145, loss=2.9267, param_norm=1388.7075"
47700,"grad_norm=0.9614, loss=0.0843, param_norm=1388.7195"
47800,"grad_norm=0.7474, loss=0.0492, param_norm=1388.7290"
47900,"grad_norm=0.7790, loss=0.0355, param_norm=1388.7368"
48000,"grad_norm=0.7321, loss=0.0282, param_norm=1388.7439"
48100,"grad_norm=0.7572, loss=0.0246, param_norm=1388.7505"
48200,"grad_norm=0.7307, loss=0.0218, param_norm=1388.7563"
48300,"grad_norm=0.8117, loss=0.0202, param_norm=1388.7623"
48400,"grad_norm=0.6897, loss=0.0177, param_norm=1388.7678"
48500,"grad_norm=0.7763, loss=0.0171, param_norm=1388.7732"
48600,"grad_norm=0.7269, loss=0.0162, param_norm=1388.7787"
48700,"grad_norm=0.7108, loss=0.0153, param_norm=1388.7841"
48800,"grad_norm=0.6962, loss=0.0145, param_norm=1388.7892"
48900,"grad_norm=0.7808, loss=0.0144, param_norm=1388.7943"
49000,"grad_norm=0.6985, loss=0.0135, param_norm=1388.7993"
49100,"grad_norm=0.6748, loss=0.0132, param_norm=1388.8043"
49200,"grad_norm=0.7496, loss=0.0131, param_norm=1388.8092"
49300,"grad_norm=0.6681, loss=0.0125, param_norm=1388.8143"
49400,"grad_norm=0.6518, loss=0.0120, param_norm=1388.8193"
49500,"grad_norm=0.6855, loss=0.0119, param_norm=1388.8243"
49600,"grad_norm=0.7253, loss=0.0118, param_norm=1388.8293"
49700,"grad_norm=0.7191, loss=0.0117, param_norm=1388.8347"
49800,"grad_norm=0.6510, loss=0.0113, param_norm=1388.8394"
49900,"grad_norm=0.6731, loss=0.0111, param_norm=1388.8446"
50000,"grad_norm=0.6427, loss=0.0107, param_norm=1388.8496"
50100,"grad_norm=0.6402, loss=0.0105, param_norm=1388.8546"
50200,"grad_norm=0.8181, loss=0.0109, param_norm=1388.8595"
50300,"grad_norm=0.7332, loss=0.0105, param_norm=1388.8645"
50400,"grad_norm=0.6090, loss=0.0103, param_norm=1388.8696"
50500,"grad_norm=0.6238, loss=0.0102, param_norm=1388.8751"
50600,"grad_norm=0.6048, loss=0.0102, param_norm=1388.8802"
50700,"grad_norm=0.5916, loss=0.0098, param_norm=1388.8856"
50800,"grad_norm=0.6090, loss=0.0098, param_norm=1388.8909"
50900,"grad_norm=0.6747, loss=0.0095, param_norm=1388.8959"
51000,"grad_norm=0.5919, loss=0.0094, param_norm=1388.9012"
51100,"grad_norm=0.6143, loss=0.0095, param_norm=1388.9062"
51200,"grad_norm=0.6870, loss=0.0096, param_norm=1388.9114"
51300,"grad_norm=0.6051, loss=0.0092, param_norm=1388.9164"
51400,"grad_norm=0.5725, loss=0.0092, param_norm=1388.9219"
51500,"grad_norm=0.6640, loss=0.0093, param_norm=1388.9270"
51600,"grad_norm=0.6109, loss=0.0091, param_norm=1388.9321"
51700,"grad_norm=0.5832, loss=0.0090, param_norm=1388.9373"
51800,"grad_norm=0.5893, loss=0.0088, param_norm=1388.9425"
51900,"grad_norm=0.5805, loss=0.0089, param_norm=1388.9481"
52000,"grad_norm=0.5751, loss=0.0088, param_norm=1388.9534"
52100,"grad_norm=0.6071, loss=0.0087, param_norm=1388.9587"
52200,"grad_norm=0.5869, loss=0.0086, param_norm=1388.9640"
52300,"grad_norm=0.5861, loss=0.0086, param_norm=1388.9694"
52400,"grad_norm=0.5924, loss=0.0086, param_norm=1388.9746"
52500,"grad_norm=0.5585, loss=0.0085, param_norm=1388.9800"
52600,"grad_norm=0.5936, loss=0.0086, param_norm=1388.9850"
52700,"grad_norm=0.5606, loss=0.0085, param_norm=1388.9906"
52800,"grad_norm=0.5777, loss=0.0085, param_norm=1388.9958"
52900,"grad_norm=0.5055, loss=0.0083, param_norm=1389.0012"
53000,"grad_norm=0.5863, loss=0.0082, param_norm=1389.0066"
53100,"grad_norm=0.5605, loss=0.0081, param_norm=1389.0122"
53200,"grad_norm=0.5722, loss=0.0084, param_norm=1389.0178"
53300,"grad_norm=0.5922, loss=0.0084, param_norm=1389.0234"
53400,"grad_norm=0.5659, loss=0.0081, param_norm=1389.0289"
53500,"grad_norm=0.5552, loss=0.0082, param_norm=1389.0341"
53600,"grad_norm=0.5602, loss=0.0080, param_norm=1389.0393"
53700,"grad_norm=0.5389, loss=0.0081, param_norm=1389.0449"
53800,"grad_norm=0.5781, loss=0.0080, param_norm=1389.0503"
53900,"grad_norm=0.5813, loss=0.0081, param_norm=1389.0559"
54000,"grad_norm=0.5450, loss=0.0079, param_norm=1389.0615"
54100,"grad_norm=0.5558, loss=0.0079, param_norm=1389.0671"
54200,"grad_norm=0.5625, loss=0.0078, param_norm=1389.0725"
54300,"grad_norm=0.5481, loss=0.0078, param_norm=1389.0779"
54400,"grad_norm=0.5450, loss=0.0078, param_norm=1389.0834"
54500,"grad_norm=0.5581, loss=0.0078, param_norm=1389.0889"
54600,"grad_norm=0.4997, loss=0.0077, param_norm=1389.0944"
54700,"grad_norm=0.5187, loss=0.0076, param_norm=1389.1001"
54800,"grad_norm=0.5543, loss=0.0078, param_norm=1389.1057"
54900,"grad_norm=0.5796, loss=0.0076, param_norm=1389.1113"
55000,"grad_norm=0.5525, loss=0.0077, param_norm=1389.1169"
55100,"grad_norm=0.5271, loss=0.0075, param_norm=1389.1224"
55200,"grad_norm=0.5061, loss=0.0076, param_norm=1389.1283"
55300,"grad_norm=0.5384, loss=0.0076, param_norm=1389.1340"
55400,"grad_norm=0.5032, loss=0.0076, param_norm=1389.1396"
55500,"grad_norm=0.5411, loss=0.0074, param_norm=1389.1453"
55600,"grad_norm=0.5216, loss=0.0076, param_norm=1389.1506"
55700,"grad_norm=0.5371, loss=0.0075, param_norm=1389.1565"
55800,"grad_norm=0.5326, loss=0.0074, param_norm=1389.1621"
55900,"grad_norm=0.4839, loss=0.0073, param_norm=1389.1676"
56000,"grad_norm=0.5681, loss=0.0075, param_norm=1389.1732"
56100,"grad_norm=0.5440, loss=0.0073, param_norm=1389.1791"
56200,"grad_norm=0.4904, loss=0.0074, param_norm=1389.1847"
56300,"grad_norm=0.5368, loss=0.0074, param_norm=1389.1903"
56400,"grad_norm=0.4926, loss=0.0071, param_norm=1389.1959"
56500,"grad_norm=0.4869, loss=0.0073, param_norm=1389.2015"
56600,"grad_norm=0.5671, loss=0.0074, param_norm=1389.2073"
56700,"grad_norm=0.5398, loss=0.0075, param_norm=1389.2131"
56800,"grad_norm=0.5212, loss=0.0071, param_norm=1389.2185"
56900,"grad_norm=0.5123, loss=0.0073, param_norm=1389.2244"
57000,"grad_norm=0.5182, loss=0.0072, param_norm=1389.2300"
57100,"grad_norm=0.4985, loss=0.0072, param_norm=1389.2356"
57200,"grad_norm=0.5176, loss=0.0071, param_norm=1389.2412"
57300,"grad_norm=0.4802, loss=0.0071, param_norm=1389.2472"
57400,"grad_norm=0.5068, loss=0.0072, param_norm=1389.2528"
57500,"grad_norm=0.5993, loss=0.0073, param_norm=1389.2587"
57600,"grad_norm=0.4920, loss=0.0070, param_norm=1389.2644"
57700,"grad_norm=0.5626, loss=0.0073, param_norm=1389.2703"
57800,"grad_norm=0.4920, loss=0.0072, param_norm=1389.2759"
57900,"grad_norm=0.5086, loss=0.0071, param_norm=1389.2819"
58000,"grad_norm=0.5050, loss=0.0068, param_norm=1389.2875"
58100,"grad_norm=0.5444, loss=0.0069, param_norm=1389.2936"
58200,"grad_norm=0.4652, loss=0.0071, param_norm=1389.2991"
58300,"grad_norm=0.5185, loss=0.0072, param_norm=1389.3049"
58400,"grad_norm=0.4674, loss=0.0067, param_norm=1389.3108"
58500,"grad_norm=0.4836, loss=0.0071, param_norm=1389.3165"
58600,"grad_norm=0.4701, loss=0.0070, param_norm=1389.3225"
58700,"grad_norm=0.4980, loss=0.0070, param_norm=1389.3284"
58800,"grad_norm=0.5321, loss=0.0068, param_norm=1389.3344"
58900,"grad_norm=0.4708, loss=0.0070, param_norm=1389.3401"
59000,"grad_norm=0.5184, loss=0.0069, param_norm=1389.3459"
59100,"grad_norm=0.4689, loss=0.0069, param_norm=1389.3518"
59200,"grad_norm=0.4987, loss=0.0071, param_norm=1389.3578"
