step,info
24100,"grad_norm=0.1792, loss=0.0069, param_norm=1386.9778"
24200,"grad_norm=0.1831, loss=0.0067, param_norm=1386.9855"
24300,"grad_norm=0.1706, loss=0.0068, param_norm=1386.9929"
24400,"grad_norm=0.1834, loss=0.0068, param_norm=1387.0005"
24500,"grad_norm=0.1826, loss=0.0067, param_norm=1387.0076"
24600,"grad_norm=0.1729, loss=0.0067, param_norm=1387.0151"
24700,"grad_norm=0.1754, loss=0.0067, param_norm=1387.0226"
24800,"grad_norm=0.1867, loss=0.0069, param_norm=1387.0300"
24900,"grad_norm=0.1818, loss=0.0066, param_norm=1387.0375"
25000,"grad_norm=0.1827, loss=0.0068, param_norm=1387.0449"
25100,"grad_norm=0.1778, loss=0.0066, param_norm=1387.0525"
25200,"grad_norm=0.1648, loss=0.0065, param_norm=1387.0597"
25300,"grad_norm=0.1801, loss=0.0070, param_norm=1387.0670"
25400,"grad_norm=0.1786, loss=0.0068, param_norm=1387.0743"
25500,"grad_norm=0.1731, loss=0.0067, param_norm=1387.0818"
25600,"grad_norm=0.1792, loss=0.0068, param_norm=1387.0894"
25700,"grad_norm=0.1882, loss=0.0068, param_norm=1387.0968"
25800,"grad_norm=0.1771, loss=0.0066, param_norm=1387.1044"
25900,"grad_norm=0.1878, loss=0.0068, param_norm=1387.1118"
26000,"grad_norm=0.1693, loss=0.0065, param_norm=1387.1194"
26100,"grad_norm=0.1770, loss=0.0065, param_norm=1387.1267"
26200,"grad_norm=0.1769, loss=0.0065, param_norm=1387.1342"
26300,"grad_norm=0.1740, loss=0.0065, param_norm=1387.1415"
26400,"grad_norm=0.1694, loss=0.0066, param_norm=1387.1493"
26500,"grad_norm=0.1823, loss=0.0066, param_norm=1387.1567"
26600,"grad_norm=0.1869, loss=0.0065, param_norm=1387.1642"
26700,"grad_norm=0.1747, loss=0.0065, param_norm=1387.1719"
26800,"grad_norm=0.1649, loss=0.0065, param_norm=1387.1791"
26900,"grad_norm=0.1808, loss=0.0064, param_norm=1387.1866"
27000,"grad_norm=0.1800, loss=0.0065, param_norm=1387.1941"
27100,"grad_norm=0.1786, loss=0.0065, param_norm=1387.2015"
27200,"grad_norm=0.1946, loss=0.0067, param_norm=1387.2089"
27300,"grad_norm=0.1760, loss=0.0066, param_norm=1387.2164"
27400,"grad_norm=0.1832, loss=0.0065, param_norm=1387.2238"
27500,"grad_norm=0.1886, loss=0.0064, param_norm=1387.2311"
27600,"grad_norm=0.1704, loss=0.0065, param_norm=1387.2384"
27700,"grad_norm=0.1813, loss=0.0064, param_norm=1387.2458"
27800,"grad_norm=0.1756, loss=0.0064, param_norm=1387.2534"
27900,"grad_norm=0.1738, loss=0.0066, param_norm=1387.2609"
28000,"grad_norm=0.1771, loss=0.0063, param_norm=1387.2681"
28100,"grad_norm=0.1799, loss=0.0062, param_norm=1387.2753"
28200,"grad_norm=0.1715, loss=0.0065, param_norm=1387.2825"
28300,"grad_norm=0.1622, loss=0.0066, param_norm=1387.2899"
28400,"grad_norm=0.1838, loss=0.0064, param_norm=1387.2975"
28500,"grad_norm=0.1729, loss=0.0064, param_norm=1387.3048"
28600,"grad_norm=0.1879, loss=0.0064, param_norm=1387.3121"
28700,"grad_norm=0.2022, loss=0.0065, param_norm=1387.3195"
28800,"grad_norm=0.1781, loss=0.0063, param_norm=1387.3271"
28900,"grad_norm=0.1850, loss=0.0063, param_norm=1387.3344"
29000,"grad_norm=0.1855, loss=0.0066, param_norm=1387.3417"
29100,"grad_norm=0.1904, loss=0.0064, param_norm=1387.3490"
29200,"grad_norm=0.1892, loss=0.0064, param_norm=1387.3566"
29300,"grad_norm=0.1792, loss=0.0064, param_norm=1387.3640"
29400,"grad_norm=0.1542, loss=0.0064, param_norm=1387.3712"
29500,"grad_norm=0.1817, loss=0.0061, param_norm=1387.3787"
29600,"grad_norm=0.1687, loss=0.0063, param_norm=1387.3862"
29700,"grad_norm=0.1692, loss=0.0062, param_norm=1387.3936"
29800,"grad_norm=0.1766, loss=0.0064, param_norm=1387.4009"
29900,"grad_norm=0.1715, loss=0.0063, param_norm=1387.4084"
30000,"grad_norm=0.1741, loss=0.0062, param_norm=1387.4158"
30100,"grad_norm=0.1744, loss=0.0064, param_norm=1387.4231"
30200,"grad_norm=0.1877, loss=0.0063, param_norm=1387.4308"
30300,"grad_norm=0.1737, loss=0.0062, param_norm=1387.4377"
30400,"grad_norm=0.1832, loss=0.0063, param_norm=1387.4453"
30500,"grad_norm=0.1756, loss=0.0060, param_norm=1387.4526"
30600,"grad_norm=0.1747, loss=0.0062, param_norm=1387.4600"
30700,"grad_norm=0.1869, loss=0.0063, param_norm=1387.4675"
30800,"grad_norm=0.1847, loss=0.0062, param_norm=1387.4746"
30900,"grad_norm=0.1689, loss=0.0063, param_norm=1387.4822"
31000,"grad_norm=0.1878, loss=0.0062, param_norm=1387.4896"
31100,"grad_norm=0.1866, loss=0.0063, param_norm=1387.4968"
31200,"grad_norm=0.1802, loss=0.0064, param_norm=1387.5042"
31300,"grad_norm=0.1711, loss=0.0062, param_norm=1387.5115"
31400,"grad_norm=0.1797, loss=0.0061, param_norm=1387.5190"
31500,"grad_norm=0.1775, loss=0.0062, param_norm=1387.5265"
31600,"grad_norm=0.1781, loss=0.0063, param_norm=1387.5341"
31700,"grad_norm=0.1824, loss=0.0062, param_norm=1387.5413"
31800,"grad_norm=0.1769, loss=0.0063, param_norm=1387.5485"
31900,"grad_norm=0.1872, loss=0.0061, param_norm=1387.5559"
32000,"grad_norm=0.1685, loss=0.0062, param_norm=1387.5631"
32100,"grad_norm=0.1681, loss=0.0061, param_norm=1387.5708"
32200,"grad_norm=0.1761, loss=0.0061, param_norm=1387.5779"
32300,"grad_norm=0.1754, loss=0.0060, param_norm=1387.5851"
32400,"grad_norm=0.1711, loss=0.0063, param_norm=1387.5927"
32500,"grad_norm=0.1753, loss=0.0063, param_norm=1387.6001"
32600,"grad_norm=0.1864, loss=0.0062, param_norm=1387.6074"
32700,"grad_norm=0.1668, loss=0.0060, param_norm=1387.6146"
32800,"grad_norm=0.1800, loss=0.0062, param_norm=1387.6222"
32900,"grad_norm=0.1734, loss=0.0059, param_norm=1387.6294"
33000,"grad_norm=0.1789, loss=0.0061, param_norm=1387.6368"
33100,"grad_norm=0.1864, loss=0.0061, param_norm=1387.6442"
33200,"grad_norm=0.1784, loss=0.0062, param_norm=1387.6515"
33300,"grad_norm=0.1611, loss=0.0061, param_norm=1387.6591"
33400,"grad_norm=0.1822, loss=0.0062, param_norm=1387.6665"
33500,"grad_norm=0.1837, loss=0.0062, param_norm=1387.6738"
33600,"grad_norm=0.1725, loss=0.0060, param_norm=1387.6814"
33700,"grad_norm=0.1803, loss=0.0062, param_norm=1387.6887"
33800,"grad_norm=0.1758, loss=0.0061, param_norm=1387.6958"
33900,"grad_norm=0.1703, loss=0.0061, param_norm=1387.7032"
34000,"grad_norm=0.1735, loss=0.0060, param_norm=1387.7109"
34100,"grad_norm=0.1859, loss=0.0062, param_norm=1387.7181"
